id,created_at,text,retweet_count,favorite_count
1060644666125602816,2018-11-08 21:26:08,https://t.co/HC1ZbTYNlP,1925,9229
1060625459841388544,2018-11-08 20:09:49,@theSTASHED https://t.co/JC2BNyHOVG,58,384
1060590280100012032,2018-11-08 17:50:02,RT @JaidaRaymond: 🐐🐐 https://t.co/8H5Lhi2QiO,289,0
1060589357046751232,2018-11-08 17:46:22,Raise confidence and consciousness,7591,26635
1060586243732398080,2018-11-08 17:33:59,RT @yeezyenergy: I’m ready to witness the gods @kanyewest and @KidCudi together again 👻 https://t.co/5f7YpM9J89,863,0
1060586101138587649,2018-11-08 17:33:25,Remove stress,26844,76151
1060213158307016705,2018-11-07 16:51:29,https://t.co/EYfZdq9X8w,9138,80007
1060213135225708545,2018-11-07 16:51:23,RT @OKardashWest: Kim Kardashian leaving a restaurant yesterday 🔥🔥🔥 incredibly beautiful ❣️ https://t.co/dOXlGbwctX,244,0
1059088750062428160,2018-11-04 14:23:29,McDonald’s is my favorite restaurant,68139,277092
1058551854324432896,2018-11-03 02:50:03,https://t.co/4UMmxdK5Ow,1121,10382
1058525828106108928,2018-11-03 01:06:38,https://t.co/yeEWzkeyrh,865,5716
1058442346935787521,2018-11-02 19:34:55,https://t.co/q4poCymHYK,277,2927
1058051088375439360,2018-11-01 17:40:11,RT @Diddy: Who's afraid of clowns??? https://t.co/wZXaINKVzh,63084,0
1058050777988587521,2018-11-01 17:38:57,RT @KimKardashian: Guess who https://t.co/LRD9BN2M6K,4006,0
1058050681712472065,2018-11-01 17:38:34,RT @GetTheFuzzOut: y’all remember that time the muppets went to sesame street to work with kanye on this classic track? https://t.co/87O96m…,2820,0
1058050344746283009,2018-11-01 17:37:14,RT @kuwthewests: PAMELA 🔥 https://t.co/prA4LvbHXH,237,0
1058049919787786240,2018-11-01 17:35:33,RT @KimKardashian: I love you my sisters. Forever my angels. https://t.co/ySrRX9DJ8y,17644,0
1057828803127468032,2018-11-01 02:56:54,Scoop https://t.co/7aykoIzr8L,23281,207131
1057761814652616704,2018-10-31 22:30:43,https://t.co/EIYKuEEDjz,25500,114456
1057544988282757120,2018-10-31 08:09:08,RT @overdramatique: Yajuj and Majuj (Gog and Magog) might just be bots.,405,0
1057382916760707072,2018-10-30 21:25:07,My eyes are now wide open and now realize I’ve been used to spread messages I don’t believe in. I am distancing mys… https://t.co/o0RJeT0Nnc,74197,336596
1057382888520499201,2018-10-30 21:25:00,I introduced Candace to the person who made the logo and they didn’t want their name on it so she used mine. I neve… https://t.co/KGkIISMu05,4690,28735
1057366629326053376,2018-10-30 20:20:24,"I would like to thank my family, loved ones, and community for supporting my ACTUAL beliefs and my vision for a better world.",5343,40339
1057366623621955586,2018-10-30 20:20:22,I support those who risk their lives to serve and protect us and I support holding people who misuse their power ac… https://t.co/iyJFaWnr38,8467,53672
1057366616432930816,2018-10-30 20:20:20,"I support creating jobs and opportunities for people who need them the most, I support prison reform, I support com… https://t.co/ncMQqbeAY9",6870,46087
1057354881546272769,2018-10-30 19:33:43,RT @KimKardashian: I loved my glam this night. @makeupbymario @michaelsilvahair https://t.co/wuQSnmTdY8,1424,0
1057354836956626945,2018-10-30 19:33:32,RT @TeamKanyeDaily: Perri-Ye yourself with the @Perrier Snapchat filter. 😂 https://t.co/8j2c75yBqU https://t.co/4d2MnQoFQx,288,0
1057351631128481792,2018-10-30 19:20:48,RT @Perrier: Use our new Extraordinaire Snapchat Lens 👻 and post your video anywhere you want with #PERRIERCostume to try and win Perrier p…,180,0
